age_group,place_overall,place_gender,place_division,name,team,bib_number,half_time,finish_net,finish_gun,gender,half_time_sec,finish_net_sec,finish_gun_sec,finish_net_minutes
55-59,16207,10574,863,"Matusch, Thomas",Team–,17496,1H 52M 7S,3H 45M 7S,3H 49M 46S,M,6727,13507,13786,225.11666666666667
55-59,16217,10582,864,"Johnson, Ernest",Team–,16454,1H 43M 6S,3H 45M 12S,3H 45M 15S,M,6186,13512,13515,225.2
55-59,16264,10599,865,"Shan, Nobu",Team–,19299,1H 48M 45S,3H 45M 25S,3H 48M 48S,M,6525,13525,13728,225.41666666666666
55-59,16269,10601,866,"Ramon, Yuval",Team–,25382,1H 50M 25S,3H 45M 26S,3H 46M 7S,M,6625,13526,13567,225.43333333333334
55-59,16272,10603,867,"Abou-Zamzam, Ahmed",Team–,18875,1H 44M 26S,3H 45M 27S,3H 46M 40S,M,6266,13527,13600,225.45
55-59,16293,10614,868,"Murphy, Douglas",Team–,15894,1H 46M 32S,3H 45M 35S,3H 49M 59S,M,6392,13535,13799,225.58333333333334
55-59,16315,10625,869,"Pellegrini, Daniel",Team–,17142,1H 46M 3S,3H 45M 44S,3H 46M 39S,M,6363,13544,13599,225.73333333333332
55-59,16324,10630,870,"Blanchette, Richard",Team–,14552,1H 45M 49S,3H 45M 46S,3H 50M 11S,M,6349,13546,13811,225.76666666666668
55-59,16331,10632,871,"Muhl, Robert",Team–,18263,1H 47M 28S,3H 45M 49S,3H 52M 28S,M,6448,13549,13948,225.81666666666666
55-59,16380,10654,872,"Warden, Doug",Team–,18156,1H 47M 5S,3H 46M 2S,3H 47M 3S,M,6425,13562,13623,226.03333333333333
55-59,16381,10655,873,"Haataja, Daniel",Team–,16190,1H 46M 7S,3H 46M 2S,3H 46M 9S,M,6367,13562,13569,226.03333333333333
55-59,16390,10657,874,"Liif, Lars",Team–,27629,1H 48M 42S,3H 46M 3S,3H 47M 56S,M,6522,13563,13676,226.05
55-59,16433,10670,875,"Ross, John",Team–,18291,1H 46M 47S,3H 46M 12S,3H 47M 19S,M,6407,13572,13639,226.2
55-59,16445,10672,876,"Richards, Barry",Team–,19503,1H 49M 33S,3H 46M 14S,3H 48M 24S,M,6573,13574,13704,226.23333333333332
55-59,16450,10673,877,"Vrees, Andrew",Team–,29443,1H 49M 33S,3H 46M 15S,3H 46M 22S,M,6573,13575,13582,226.25
55-59,16451,10674,878,"Penner, Bradley",Team–,18554,1H 48M 57S,3H 46M 15S,3H 51M 13S,M,6537,13575,13873,226.25
55-59,16469,10680,879,"Fleury, Bill",Team–,18865,1H 45M 20S,3H 46M 20S,3H 47M 20S,M,6320,13580,13640,226.33333333333334
55-59,16471,10682,880,"Hurlbert, Scott",Team–,17646,1H 45M 50S,3H 46M 21S,3H 46M 22S,M,6350,13581,13582,226.35
55-59,16483,10685,881,"Escarcega, Alex",Team–,13292,1H 45M 51S,3H 46M 22S,3H 46M 22S,M,6351,13582,13582,226.36666666666667
55-59,16490,10687,882,"Diana, Carlo",Team–,31456,1H 48M 57S,3H 46M 24S,3H 51M 8S,M,6537,13584,13868,226.4
55-59,16493,10689,883,"Bruzek, Karl",Team–,17598,1H 51M 38S,3H 46M 25S,3H 49M 29S,M,6698,13585,13769,226.41666666666666
55-59,16500,10693,884,"Pham, Hung",Team–,14145,1H 46M 38S,3H 46M 27S,3H 51M 2S,M,6398,13587,13862,226.45
55-59,16518,10702,885,"Brock, Neil",Team–,14333,1H 42M 5S,3H 46M 33S,3H 50M 22S,M,6125,13593,13822,226.55
55-59,16522,10705,886,"Llavona, Ruben",Team–,14250,1H 48M 16S,3H 46M 35S,3H 50M 23S,M,6496,13595,13823,226.58333333333334
55-59,16525,10706,887,"Farano, Vito Antonio",Team–,31614,1H 46M 50S,3H 46M 36S,3H 51M 44S,M,6410,13596,13904,226.6
55-59,16540,10713,888,"Disciullo, Robert",Team–,17310,1H 51M 1S,3H 46M 39S,3H 48M 57S,M,6661,13599,13737,226.65
55-59,16579,10730,889,"Walker, John",Team–,18548,1H 53M 4S,3H 46M 50S,3H 52M 40S,M,6784,13610,13960,226.83333333333334
55-59,16604,10741,890,"Frazier, Richard",Team–,16035,1H 42M 36S,3H 46M 56S,3H 47M 6S,M,6156,13616,13626,226.93333333333334
55-59,16623,10750,891,"Knobler, Mike",Team–,18132,1H 52M 42S,3H 47M 1S,3H 48M 12S,M,6762,13621,13692,227.01666666666668
55-59,16629,10753,892,"Itaya, Asao",Team–,16375,1H 49M 13S,3H 47M 2S,3H 47M 25S,M,6553,13622,13645,227.03333333333333
55-59,16645,10758,893,"Mercer, David",Team–,19638,1H 53M 3S,3H 47M 7S,3H 53M 40S,M,6783,13627,14020,227.11666666666667
55-59,16662,10763,894,"Hage, John",Team–,24947,1H 50M 50S,3H 47M 10S,3H 49M 0S,M,6650,13630,13740,227.16666666666666
55-59,16669,10765,895,"Thomas, Reggie",Team–,15301,1H 45M 0S,3H 47M 12S,3H 51M 59S,M,6300,13632,13919,227.2
55-59,16719,10785,896,"Sherwood, Robert",Team–,16480,1H 50M 38S,3H 47M 23S,3H 53M 51S,M,6638,13643,14031,227.38333333333333
55-59,16730,10790,897,"Moore, Paul",Team–,17402,1H 52M 12S,3H 47M 25S,3H 54M 14S,M,6732,13645,14054,227.41666666666666
55-59,16747,10796,898,"Martinez Godinez, Gabriel",Team–,19276,1H 49M 0S,3H 47M 30S,3H 49M 4S,M,6540,13650,13744,227.5
55-59,16783,10810,899,"Buzza, Shane",Team–,16835,1H 45M 30S,3H 47M 38S,3H 54M 54S,M,6330,13658,14094,227.63333333333333
55-59,16810,10823,900,"Norris, Donnie",Team–,18439,1H 47M 40S,3H 47M 47S,3H 49M 10S,M,6460,13667,13750,227.78333333333333
55-59,16815,10826,901,"Wang, Jack",Team–,14080,1H 52M 16S,3H 47M 48S,3H 48M 17S,M,6736,13668,13697,227.8
55-59,16819,10829,902,"Durham, Dan",Team–,18508,1H 51M 6S,3H 47M 49S,3H 54M 35S,M,6666,13669,14075,227.81666666666666
55-59,16821,10830,903,"Milton, Daniel",Team–,17500,1H 50M 7S,3H 47M 50S,3H 48M 36S,M,6607,13670,13716,227.83333333333334
55-59,16843,10839,904,"Millet, Eric",Team–,16028,1H 47M 58S,3H 47M 58S,3H 49M 54S,M,6478,13678,13794,227.96666666666667
55-59,16860,10845,905,"Hamilton, Brandon",TeamSouth Jersey Athletic Club,7642,1H 42M 12S,3H 48M 2S,3H 52M 17S,M,6132,13682,13937,228.03333333333333
55-59,16861,10846,906,"Johnson, Jason",Team–,14393,1H 50M 45S,3H 48M 2S,3H 52M 25S,M,6645,13682,13945,228.03333333333333
55-59,16864,10847,907,"Poggi, Ronald",Team–,13365,1H 51M 25S,3H 48M 3S,3H 51M 38S,M,6685,13683,13898,228.05
55-59,16879,10850,908,"Schneider, Dirk",Team–,18453,1H 57M 19S,3H 48M 7S,3H 49M 7S,M,7039,13687,13747,228.11666666666667
55-59,16890,10853,909,"Hamelin, Jean-Yves",Team–,19028,1H 48M 35S,3H 48M 8S,3H 49M 48S,M,6515,13688,13788,228.13333333333333
55-59,16894,10855,910,"Wan, John",Team–,14508,1H 46M 1S,3H 48M 9S,3H 52M 18S,M,6361,13689,13938,228.15
55-59,16895,10856,911,"Bragagnolo, Alain",Team–,19016,1H 51M 17S,3H 48M 9S,3H 51M 11S,M,6677,13689,13871,228.15
55-59,16917,10865,912,"Schrader, David",Team–,12538,1H 41M 5S,3H 48M 14S,3H 52M 36S,M,6065,13694,13956,228.23333333333332
55-59,16922,10867,913,"Yong, Jose",Team–,17349,1H 47M 13S,3H 48M 15S,3H 55M 41S,M,6433,13695,14141,228.25
55-59,16927,10868,914,"Marchand, Kim",Team–,18571,1H 52M 16S,3H 48M 16S,3H 51M 51S,M,6736,13696,13911,228.26666666666668
55-59,16936,10873,915,"Shandley, Robert",Team–,16896,1H 49M 14S,3H 48M 19S,3H 48M 26S,M,6554,13699,13706,228.31666666666666
55-59,16949,10876,916,"Durr, Craig",Team–,17966,1H 45M 35S,3H 48M 23S,3H 51M 48S,M,6335,13703,13908,228.38333333333333
55-59,16955,10878,917,"Pan, Lance",Team–,18158,1H 53M 35S,3H 48M 24S,3H 51M 20S,M,6815,13704,13880,228.4
55-59,16963,10883,918,"Carek, Paul",Team–,18611,1H 50M 18S,3H 48M 25S,3H 49M 46S,M,6618,13705,13786,228.41666666666666
55-59,16964,10884,919,"Kennedy, Robert",Team–,16251,1H 48M 36S,3H 48M 25S,3H 48M 38S,M,6516,13705,13718,228.41666666666666
55-59,16986,10893,920,"Smith, Jess",Team–,19221,1H 45M 16S,3H 48M 32S,3H 50M 23S,M,6316,13712,13823,228.53333333333333
55-59,16988,10894,921,"Hurm, Mark",Team–,18544,1H 49M 24S,3H 48M 33S,3H 50M 5S,M,6564,13713,13805,228.55
55-59,17004,10899,922,"Rubio Gómez, Alfonso",Team–,31433,1H 44M 13S,3H 48M 36S,3H 55M 32S,M,6253,13716,14132,228.6
55-59,17023,10910,923,"Kesselring, Tim",Team–,18835,1H 44M 17S,3H 48M 42S,3H 49M 58S,M,6257,13722,13798,228.7
55-59,17025,10911,924,"Zhou, Hong",Team–,18882,1H 46M 39S,3H 48M 42S,3H 53M 29S,M,6399,13722,14009,228.7
55-59,17029,10914,925,"Schwanke, Peter",Team–,18887,1H 52M 7S,3H 48M 43S,3H 50M 4S,M,6727,13723,13804,228.71666666666667
55-59,17035,10919,926,"Kornoelje, Edwin",Team–,27457,1H 49M 13S,3H 48M 44S,3H 50M 59S,M,6553,13724,13859,228.73333333333332
55-59,17048,10924,927,"Russo, Jeff",Team–,31511,1H 55M 21S,3H 48M 48S,3H 53M 36S,M,6921,13728,14016,228.8
55-59,17054,10929,928,"Lavalle, David",TeamSomerville Road Runners,11577,1H 59M 17S,3H 48M 48S,3H 50M 44S,M,7157,13728,13844,228.8
55-59,17056,10930,929,"Hyams, Robert",Team–,18958,1H 49M 17S,3H 48M 49S,3H 53M 1S,M,6557,13729,13981,228.81666666666666
55-59,17078,10937,930,"Redman, Jerry",Team–,19119,1H 50M 1S,3H 48M 52S,3H 50M 33S,M,6601,13732,13833,228.86666666666667
55-59,17112,10954,931,"Martinez, Antonio",Team–,17407,1H 44M 47S,3H 49M 2S,3H 49M 25S,M,6287,13742,13765,229.03333333333333
55-59,17142,10969,932,"Le Jamtel, Jerome",Team–,14930,1H 48M 8S,3H 49M 10S,3H 53M 25S,M,6488,13750,14005,229.16666666666666
55-59,17148,10972,933,"Ferreira Oliveira, Alexandre Augusto",Team–,11945,1H 48M 53S,3H 49M 11S,3H 50M 55S,M,6533,13751,13855,229.18333333333334
55-59,17154,10976,934,"Tsui, Tsun-Te",Team–,19499,1H 46M 15S,3H 49M 11S,3H 51M 7S,M,6375,13751,13867,229.18333333333334
55-59,17161,10979,935,"Nelson, James",Team–,31966,1H 55M 53S,3H 49M 12S,3H 54M 28S,M,6953,13752,14068,229.2
55-59,17164,10980,936,"Ng, Hung",Team–,18732,1H 49M 28S,3H 49M 13S,3H 50M 37S,M,6568,13753,13837,229.21666666666667
55-59,17170,10984,937,"Pilarski, Kevin",Team–,14541,1H 51M 11S,3H 49M 15S,3H 49M 15S,M,6671,13755,13755,229.25
55-59,17260,11018,938,"Hodge, Paul",Team–,25605,1H 52M 24S,3H 49M 37S,3H 50M 22S,M,6744,13777,13822,229.61666666666667
55-59,17281,11029,939,"Marins, Wagner Luiz",Team–,16842,1H 54M 45S,3H 49M 42S,3H 50M 29S,M,6885,13782,13829,229.7
55-59,17292,11035,940,"Ferro, Louis",Team–,19410,1H 47M 49S,3H 49M 46S,3H 54M 18S,M,6469,13786,14058,229.76666666666668
55-59,17339,11051,941,"Brister, Joel",Team–,18527,1H 53M 0S,3H 49M 59S,3H 51M 10S,M,6780,13799,13870,229.98333333333332
55-59,17355,11055,942,"Fucinaro, Dan",Team–,18821,1H 52M 8S,3H 50M 3S,3H 51M 15S,M,6728,13803,13875,230.05
55-59,17394,11071,943,"Clarke, Andy",Team–,14588,1H 43M 3S,3H 50M 16S,3H 54M 17S,M,6183,13816,14057,230.26666666666668
55-59,17395,11072,944,"Bullen, Matt",Team–,16640,1H 48M 56S,3H 50M 16S,3H 50M 26S,M,6536,13816,13826,230.26666666666668
55-59,17401,11074,945,"Betoulieres, Franck",Team–,30241,1H 51M 45S,3H 50M 17S,3H 54M 39S,M,6705,13817,14079,230.28333333333333
55-59,17406,11077,946,"Fahey, Patrick",Team–,17460,1H 52M 56S,3H 50M 18S,3H 51M 9S,M,6776,13818,13869,230.3
55-59,17444,11096,947,"Tiernan, Jim",Team–,18597,1H 45M 42S,3H 50M 30S,3H 51M 26S,M,6342,13830,13886,230.5
55-59,17449,11097,948,"Ishii, Hideyuki",Team–,16823,1H 44M 59S,3H 50M 31S,3H 50M 43S,M,6299,13831,13843,230.51666666666668
55-59,17459,11100,949,"Wu, Joseph",Team–,17770,1H 45M 22S,3H 50M 32S,3H 51M 15S,M,6322,13832,13875,230.53333333333333
55-59,17471,11104,950,"Walker, Rohan",Team–,16044,1H 42M 34S,3H 50M 36S,3H 50M 59S,M,6154,13836,13859,230.6
55-59,17480,11108,951,"Romero M, Dante",Team–,17070,1H 45M 41S,3H 50M 37S,3H 51M 5S,M,6341,13837,13865,230.61666666666667
55-59,17487,11109,952,"Zegzula, Dan",Team–,15320,1H 53M 20S,3H 50M 40S,3H 53M 49S,M,6800,13840,14029,230.66666666666666
55-59,17489,11110,953,"Zhang, Mingrui",Team–,18622,1H 52M 23S,3H 50M 40S,3H 55M 15S,M,6743,13840,14115,230.66666666666666
55-59,17490,11111,954,"Rayner, Timothy",Team–,18867,1H 48M 12S,3H 50M 40S,3H 51M 40S,M,6492,13840,13900,230.66666666666666
55-59,17491,11112,955,"Lanciault, Jim",Team–,19460,1H 48M 49S,3H 50M 41S,3H 52M 13S,M,6529,13841,13933,230.68333333333334
55-59,17493,11113,956,"Ruscoe, Jon",Team–,13901,1H 53M 22S,3H 50M 41S,3H 53M 49S,M,6802,13841,14029,230.68333333333334
55-59,17502,11115,957,"Pulling, Craig",Team–,12626,1H 54M 13S,3H 50M 43S,3H 55M 47S,M,6853,13843,14147,230.71666666666667
55-59,17503,11116,958,"Bertanza, Luigi",Team–,P122,1H 50M 4S,3H 50M 43S,3H 50M 43S,M,6604,13843,13843,230.71666666666667
55-59,17510,11119,959,"Cricket, Rickety",Team–,15651,1H 54M 31S,3H 50M 45S,3H 56M 5S,M,6871,13845,14165,230.75
55-59,17534,11133,960,"Socia, Kevin",Team–,16349,1H 50M 4S,3H 50M 50S,3H 51M 14S,M,6604,13850,13874,230.83333333333334
55-59,17543,11138,961,"Gong, Xiaohua",Team–,17390,1H 48M 8S,3H 50M 53S,3H 50M 56S,M,6488,13853,13856,230.88333333333333
55-59,17549,11141,962,"Hill, Jeffrey",Team–,17890,1H 52M 6S,3H 50M 54S,3H 52M 38S,M,6726,13854,13958,230.9
55-59,17563,11146,963,"Tan, Bernie",Team–,12845,1H 48M 34S,3H 50M 59S,3H 53M 38S,M,6514,13859,14018,230.98333333333332
55-59,17590,11158,964,"Hasegawa, Marcos",Team–,18408,1H 55M 55S,3H 51M 7S,3H 52M 9S,M,6955,13867,13929,231.11666666666667
55-59,17599,11165,965,"Correa, Jay",Team–,16973,1H 45M 42S,3H 51M 8S,3H 58M 37S,M,6342,13868,14317,231.13333333333333
55-59,17630,11174,966,"Xiao, Dingshan",Team–,17674,1H 46M 34S,3H 51M 17S,3H 52M 34S,M,6394,13877,13954,231.28333333333333
55-59,17653,11185,967,"Fleischmann, Martin",Team–,18946,1H 46M 32S,3H 51M 24S,3H 55M 4S,M,6392,13884,14104,231.4
55-59,17654,11186,968,"Hung, Sungching",Team–,19583,1H 47M 20S,3H 51M 25S,3H 54M 4S,M,6440,13885,14044,231.41666666666666
55-59,17670,11190,969,"Petersen, Kurt",Team–,19710,1H 49M 56S,3H 51M 30S,3H 53M 18S,M,6596,13890,13998,231.5
55-59,17689,11200,970,"Bernard, Jim",Team–,17707,1H 48M 22S,3H 51M 36S,3H 52M 12S,M,6502,13896,13932,231.6
55-59,17754,11227,971,"Smith, Russ",Team–,16112,1H 51M 45S,3H 51M 49S,3H 52M 2S,M,6705,13909,13922,231.81666666666666
55-59,17789,11244,972,"Holton, Andrew",Team–,18689,1H 45M 14S,3H 52M 6S,3H 53M 4S,M,6314,13926,13984,232.1
55-59,17793,11247,973,"Kaiser, Michael",Team–,13927,1H 48M 4S,3H 52M 7S,3H 55M 40S,M,6484,13927,14140,232.11666666666667
55-59,17852,11270,974,"Popescu, Silviu",Team–,14540,1H 53M 8S,3H 52M 24S,3H 57M 8S,M,6788,13944,14228,232.4
55-59,17859,11274,975,"Gronquist, James",Team–,19093,1H 56M 12S,3H 52M 25S,3H 58M 46S,M,6972,13945,14326,232.41666666666666
55-59,17873,11280,976,"Nerrow, David",Team–,15887,1H 37M 54S,3H 52M 28S,3H 57M 45S,M,5874,13948,14265,232.46666666666667
55-59,17919,11293,977,"Pendleton, Frank",Team–,19411,1H 52M 5S,3H 52M 40S,3H 59M 50S,M,6725,13960,14390,232.66666666666666
55-59,17947,11302,978,"Kugler, Larry",Team–,25872,1H 54M 45S,3H 52M 51S,3H 57M 0S,M,6885,13971,14220,232.85
55-59,17960,11306,979,"Devere, Kevin",Team–,17435,1H 49M 8S,3H 52M 54S,3H 53M 40S,M,6548,13974,14020,232.9
55-59,18003,11327,980,"Vonk, Marco",Team–,16430,1H 49M 31S,3H 53M 8S,3H 53M 27S,M,6571,13988,14007,233.13333333333333
55-59,18027,11335,981,"Juenger, Todd",Team–,18448,1H 53M 22S,3H 53M 14S,3H 54M 38S,M,6802,13994,14078,233.23333333333332
55-59,18046,11344,982,"Turner, Kurt",Team–,18357,1H 57M 43S,3H 53M 19S,3H 54M 36S,M,7063,13999,14076,233.31666666666666
55-59,18050,11345,983,"Aguilar, Santiago",Team–,30549,1H 56M 56S,3H 53M 20S,3H 57M 30S,M,7016,14000,14250,233.33333333333334
55-59,18051,11346,984,"Benedetto, Doug",Team–,19703,1H 51M 2S,3H 53M 20S,4H 0M 31S,M,6662,14000,14431,233.33333333333334
55-59,18055,11349,985,"Pearse, Darren",Team–,18232,1H 48M 30S,3H 53M 21S,3H 54M 19S,M,6510,14001,14059,233.35
55-59,18068,11354,986,"Merlino, Andrew",Team–,19470,1H 51M 57S,3H 53M 25S,3H 55M 17S,M,6717,14005,14117,233.41666666666666
55-59,18083,11362,987,"Zons, Joseph",Team–,15281,1H 51M 23S,3H 53M 29S,3H 59M 55S,M,6683,14009,14395,233.48333333333332
55-59,18088,11365,988,"Gerhardt, Wayne",Team–,30883,1H 53M 39S,3H 53M 29S,3H 57M 11S,M,6819,14009,14231,233.48333333333332
55-59,18153,11394,989,"Chi, Quyen",Team–,18394,1H 55M 35S,3H 53M 54S,3H 55M 12S,M,6935,14034,14112,233.9
55-59,18174,11399,990,"Eder, John",Team–,15500,1H 45M 53S,3H 54M 2S,4H 1M 37S,M,6353,14042,14497,234.03333333333333
55-59,18176,11400,991,"Megehee, Keith",Team–,16056,1H 52M 20S,3H 54M 2S,3H 57M 24S,M,6740,14042,14244,234.03333333333333
55-59,18180,11403,992,"Kunkel, Sven",Team–,13201,1H 53M 39S,3H 54M 4S,3H 56M 47S,M,6819,14044,14207,234.06666666666666
55-59,18193,11410,993,"Bein, Andrew",Team–,18244,1H 45M 27S,3H 54M 6S,3H 55M 12S,M,6327,14046,14112,234.1
55-59,18210,11416,994,"Jacques, Darin",Team–,15177,1H 49M 41S,3H 54M 13S,3H 59M 5S,M,6581,14053,14345,234.21666666666667
55-59,18219,11420,995,"Troxel, David",Team–,19053,1H 56M 0S,3H 54M 16S,3H 57M 15S,M,6960,14056,14235,234.26666666666668
55-59,18239,11428,996,"Napierkowski, Michael",Team–,13619,1H 50M 51S,3H 54M 22S,3H 59M 26S,M,6651,14062,14366,234.36666666666667
55-59,18262,11440,997,"Danos, Todd",Team–,19651,1H 54M 5S,3H 54M 27S,3H 55M 50S,M,6845,14067,14150,234.45
55-59,18272,11444,998,"Rosen, Kenneth",Team–,17599,2H 2M 54S,3H 54M 29S,4H 1M 3S,M,7374,14069,14463,234.48333333333332
55-59,18275,11446,999,"Wells, Bradley",Team–,16523,1H 47M 49S,3H 54M 29S,3H 54M 52S,M,6469,14069,14092,234.48333333333332
55-59,18280,11448,1000,"Turner, James",Team–,17225,1H 47M 21S,3H 54M 31S,3H 55M 1S,M,6441,14071,14101,234.51666666666668
55-59,18286,11452,1001,"Faria, Fil",TeamGreater Lowell Road Runners,14839,1H 54M 7S,3H 54M 34S,3H 58M 26S,M,6847,14074,14306,234.56666666666666
55-59,18299,11457,1002,"Newman, Chris",Team–,14617,1H 41M 56S,3H 54M 37S,3H 58M 37S,M,6116,14077,14317,234.61666666666667
55-59,18313,11463,1003,"Le, Jimmy Hung",Team–,17741,1H 49M 14S,3H 54M 41S,3H 56M 1S,M,6554,14081,14161,234.68333333333334
55-59,18316,11465,1004,"Cumming, Richard",Team–,17156,1H 58M 41S,3H 54M 41S,3H 57M 59S,M,7121,14081,14279,234.68333333333334
55-59,18442,11518,1005,"Robinson, Blair",Team–,18374,1H 55M 18S,3H 55M 22S,3H 56M 45S,M,6918,14122,14205,235.36666666666667
55-59,18447,11522,1006,"Cusson, Michel",Team–,5371,1H 45M 6S,3H 55M 24S,3H 58M 14S,M,6306,14124,14294,235.4
55-59,18452,11524,1007,"Tan, Kok Seng",Team–,29851,1H 52M 18S,3H 55M 27S,3H 58M 33S,M,6738,14127,14313,235.45
55-59,18545,11558,1008,"Foley, Brian",Team–,15907,1H 51M 47S,3H 55M 55S,4H 0M 38S,M,6707,14155,14438,235.91666666666666
55-59,18557,11566,1009,"Rodzik, Todd",Team–,15628,1H 57M 5S,3H 56M 0S,4H 1M 5S,M,7025,14160,14465,236
55-59,18576,11574,1010,"Switt, Michael",Team–,27307,1H 55M 32S,3H 56M 5S,3H 58M 14S,M,6932,14165,14294,236.08333333333334
55-59,18587,11580,1011,"Gao, Lixin",Team–,12354,2H 2M 32S,3H 56M 9S,4H 0M 26S,M,7352,14169,14426,236.15
55-59,18593,11583,1012,"Johnson, Daniel",Team–,13127,1H 49M 3S,3H 56M 11S,4H 0M 1S,M,6543,14171,14401,236.18333333333334
55-59,18629,11599,1013,"Duffy, Brian",Team–,18660,1H 50M 13S,3H 56M 20S,3H 57M 50S,M,6613,14180,14270,236.33333333333334
55-59,18642,11606,1014,"Neumann, Paul",TeamCharlotte Running Club,18985,1H 52M 19S,3H 56M 23S,3H 57M 44S,M,6739,14183,14264,236.38333333333333
55-59,18656,11611,1015,"Harmon, Timothy",TeamHalifax Road Hammers,18094,1H 42M 57S,3H 56M 28S,3H 57M 27S,M,6177,14188,14247,236.46666666666667
55-59,18657,11612,1016,"Martinez, Julio",Team–,31301,1H 57M 7S,3H 56M 29S,4H 3M 12S,M,7027,14189,14592,236.48333333333332
55-59,18674,11616,1017,"Garrido, Manuel",Team–,31262,1H 53M 54S,3H 56M 35S,4H 1M 43S,M,6834,14195,14503,236.58333333333334
55-59,18686,11623,1018,"Vaneman, Robert",Team–,30407,2H 2M 7S,3H 56M 37S,4H 3M 45S,M,7327,14197,14625,236.61666666666667
55-59,18688,11624,1019,"Fujita, Minoru",Team–,29330,1H 52M 16S,3H 56M 38S,3H 59M 5S,M,6736,14198,14345,236.63333333333333
55-59,18695,11627,1020,"Bright, Adam",Team–,19320,1H 51M 29S,3H 56M 39S,4H 2M 37S,M,6689,14199,14557,236.65
55-59,18701,11630,1021,"Ang, Kwok Ann",Team–,29913,1H 52M 39S,3H 56M 40S,3H 59M 22S,M,6759,14200,14362,236.66666666666666
55-59,18708,11633,1022,"Vara, Jose",Team–,16614,1H 46M 42S,3H 56M 42S,4H 1M 4S,M,6402,14202,14464,236.7
55-59,18714,11636,1023,"Purtell, James",Team–,17673,1H 51M 26S,3H 56M 44S,3H 57M 16S,M,6686,14204,14236,236.73333333333332
55-59,18735,11646,1024,"Quigley, Michael",Team–,14892,1H 48M 57S,3H 56M 50S,4H 0M 48S,M,6537,14210,14448,236.83333333333334
55-59,18782,11665,1025,"Conde Garrido, Arturo",Team–,18126,1H 53M 5S,3H 57M 3S,3H 58M 18S,M,6785,14223,14298,237.05
55-59,18796,11672,1026,"Kim, Peter",Team–,19591,1H 53M 51S,3H 57M 8S,3H 58M 46S,M,6831,14228,14326,237.13333333333333
55-59,18805,11679,1027,"Couto, Hudson",Team–,18909,1H 52M 44S,3H 57M 12S,3H 59M 20S,M,6764,14232,14360,237.2
55-59,18818,11683,1028,"Muenchbach, Andreas",Team–,30973,2H 0M 40S,3H 57M 17S,4H 3M 30S,M,7240,14237,14610,237.28333333333333
55-59,18821,11686,1029,"Beyaert, Jean-Charles,robert,marie",Team–,31072,1H 56M 33S,3H 57M 18S,4H 1M 47S,M,6993,14238,14507,237.3
55-59,18826,11690,1030,"Nanfelt, Scott",Team–,15905,1H 59M 11S,3H 57M 19S,4H 2M 0S,M,7151,14239,14520,237.31666666666666
55-59,18831,11693,1031,"Gomez, Johann",Team–,27615,1H 58M 26S,3H 57M 21S,4H 4M 56S,M,7106,14241,14696,237.35
55-59,18842,11699,1032,"Dwyer, Daniel",Team–,25612,1H 58M 28S,3H 57M 24S,4H 4M 35S,M,7108,14244,14675,237.4
55-59,18846,11701,1033,"Frank, Daniel",Team–,18105,1H 53M 3S,3H 57M 25S,3H 59M 27S,M,6783,14245,14367,237.41666666666666
55-59,18855,11707,1034,"Hahn, Ron",Team–,19138,1H 47M 0S,3H 57M 27S,3H 59M 42S,M,6420,14247,14382,237.45
55-59,18871,11716,1035,"Camilleri, Albert",TeamSan Diego Track Club,14862,1H 48M 48S,3H 57M 34S,4H 3M 56S,M,6528,14254,14636,237.56666666666666
55-59,18892,11725,1036,"Sun, Hong Hai",Team–,18883,1H 53M 55S,3H 57M 44S,4H 2M 17S,M,6835,14264,14537,237.73333333333332
55-59,18915,11733,1037,"Eissner, Jay",Team–,27292,1H 59M 25S,3H 57M 50S,4H 0M 6S,M,7165,14270,14406,237.83333333333334
55-59,18930,11738,1038,"Strobel, John",Team–,18906,1H 57M 8S,3H 57M 55S,3H 59M 15S,M,7028,14275,14355,237.91666666666666
55-59,18947,11743,1039,"Vasquez, Arthur",Team–,17942,1H 53M 19S,3H 58M 0S,3H 58M 34S,M,6799,14280,14314,238
55-59,18953,11746,1040,"Sasse, Kent",Team–,7708,1H 52M 8S,3H 58M 1S,4H 2M 11S,M,6728,14281,14531,238.01666666666668
55-59,18980,11757,1041,"Gomez, Jerry",Team–,31945,1H 56M 39S,3H 58M 10S,4H 0M 9S,M,6999,14290,14409,238.16666666666666
55-59,18985,11761,1042,"Holdich, Paul",Team–,12440,1H 47M 23S,3H 58M 11S,4H 0M 59S,M,6443,14291,14459,238.18333333333334
55-59,19022,11776,1043,"Lee, Stephen",Team–,30929,1H 58M 28S,3H 58M 25S,4H 2M 1S,M,7108,14305,14521,238.41666666666666
55-59,19043,11789,1044,"Cook, Simon",Team–,31290,2H 0M 11S,3H 58M 31S,4H 4M 7S,M,7211,14311,14647,238.51666666666668
55-59,19052,11793,1045,"Duhamel, Alex",Team–,27153,1H 58M 27S,3H 58M 36S,4H 6M 55S,M,7107,14316,14815,238.6
55-59,19079,11805,1046,"Henry, Todd",Team–,15886,1H 49M 45S,3H 58M 43S,4H 4M 1S,M,6585,14323,14641,238.71666666666667
55-59,19086,11809,1047,"Aranguren Azcarate, Jose Ignacio",Team–,31214,1H 53M 32S,3H 58M 45S,4H 2M 54S,M,6812,14325,14574,238.75
